"","y","Indonesia","Malaysia","PapuaNewGuinea","Philippines","SolomonIslands","TimorLeste"
"1",1900,0,0,57195.817640503,2,0,0
"2",1901,0,0,0,0,0,0
"3",1902,0,0,0,0,0,0
"4",1903,0,0,0,0,0,0
"5",1904,0,0,0,0,0,0
"6",1905,0,0,0,0,0,0
"7",1906,0,0,0,0,0,0
"8",1907,0,0,0,0,0,0
"9",1908,0,0,0,0,0,0
"10",1909,0,0,0,0,0,0
"11",1910,0,0,0,0,0,0
"12",1911,0,0,0,0,0,0
"13",1912,0,0,0,0,0,0
"14",1913,0,0,0,0,0,0
"15",1914,0,0,0,0,0,0
"16",1915,0,0,0,0,0,0
"17",1916,0,0,0,0,0,0
"18",1917,0,0,0,0,0,0
"19",1918,0,0,0,0,0,0
"20",1919,0,0,0,0,0,0
"21",1920,0,0,0,0,0,0
"22",1921,0,0,0,0,0,0
"23",1922,0,0,0,0,0,0
"24",1923,0,0,0,0,0,0
"25",1924,0,0,0,0,0,0
"26",1925,0,0,0,0,0,0
"27",1926,0,0,0,0,0,0
"28",1927,0,0,0,0,0,0
"29",1928,0,0,0,0,0,0
"30",1929,0,0,0,0,0,0
"31",1930,0,0,0,0,0,0
"32",1931,0,0,0,0,0,0
"33",1932,0,0,0,0,0,0
"34",1933,0,0,0,0,0,0
"35",1934,0,0,0,0,0,0
"36",1935,0,0,0,0,0,0
"37",1936,0,0,0,0,0,0
"38",1937,0,0,0,0,0,0
"39",1938,0,0,0,0,0,0
"40",1939,0,0,0,0,0,0
"41",1940,0,0,0,1676.3,0,0
"42",1941,0,0,0,0,0,0
"43",1942,0,0,0,0,0,0
"44",1943,0,0,0,0,0,0
"45",1944,0,0,0,0,0,0
"46",1945,0,0,0,0,0,0
"47",1946,0,0,0,0,0,0
"48",1947,0,0,0,0,0,0
"49",1948,0,0,0,0,0,0
"50",1949,0,0,0,0,0,0
"51",1950,0,0,0,0,0,0
"52",1951,0,0,0,0,0,0
"53",1952,0,0,0,0,0,0
"54",1953,0,0,0,0,0,0
"55",1954,0,0,0,0,0,0
"56",1955,0,0,0,0,0,0
"57",1956,0,0,0,0,0,0
"58",1957,0,0,0,0,0,0
"59",1958,0,0,0,0,0,0
"60",1959,0,0,0,0,0,0
"61",1960,0,0,0,0,0,0
"62",1961,0,0,0,0,0,0
"63",1962,0,0,0,0,0,0
"64",1963,0,0,0,0,0,0
"65",1964,0,0,0,0,0,0
"66",1965,0,0,0,0,0,0
"67",1966,0,0,0,0,0,0
"68",1967,0,0,0,0,0,0
"69",1968,0,0,0,0,0,0
"70",1969,0,0,0,0,0,0
"71",1970,0,0,0,0,0,0
"72",1971,0,0,0,0,0,0
"73",1972,0,0,0,0,0,0
"74",1973,0,0,0,0,0,0
"75",1974,0,5000,0,39.75,0,0
"76",1975,0,0,0,0,0,0
"77",1976,0,0,0,0,0,0
"78",1977,0,1740,134651,0,0,0
"79",1978,1100,15800,184230,0,0,0
"80",1979,0,0,0,0,0,0
"81",1980,0,0,0,0,0,0
"82",1981,0,0,0,430,0,0
"83",1982,67060,0,0,4776,0,0
"84",1983,0,0,0,0,0,0
"85",1984,0,0,0,0,0,0
"86",1985,77000,0,0,20,0,0
"87",1986,0,0,0,173.5,0,0
"88",1987,59450,0,0,66.89,0,0
"89",1988,22099,0,0,97034.17,0,0
"90",1989,0,0,43200,183,0,0
"91",1990,12820,0,0,1143.45,0,0
"92",1991,203785,0,0,48.29,0,0
"93",1992,0,0,0,121.31,0,0
"94",1993,55000,0,0,55707.4,0,0
"95",1994,0,216315,0,89857.91,0,0
"96",1995,0,0,0,239.88,15797.91729,0
"97",1996,290398,0,47413,523307.66,0,0
"98",1997,0,0,0,2230.29,0,0
"99",1998,2600,3840,0,545178.79,92900.449894608,0
"100",1999,93168.25,19414,0,283097.07,0,0
"101",2000,0,15815,1511.3899494,271500.89,0,0
"102",2001,646882.3,46317,0,246238.78,0,0
"103",2002,2951079,0,0,2204.59,1516.825686,0
"104",2003,4333,0,0,1808.85,0,0
"105",2004,693067.35,35000,0,386.68,11867.791412717,0
"106",2005,354122.86,0,0,7480.14,113.3018826,0
"107",2006,463994.19,0,100.95,1532.74,831.3978425,0
"108",2007,891788.26,186930,0,2164.84,206.91226886,123600
"109",2008,629357.99,0,0,250.94,10826.431318832,0
"110",2009,812831.71,0,57044.1311838,0,13.08526477,0
"111",2010,277847.57,0,24999.800908,24,2484.6511159,0
"112",2011,148526.949,0,1551.036763,0,22010.078340799,0
"113",2012,559755.22,0,0,0,1156.897392546,0
"114",2013,443820.45,0,0,0,2103.02206741,0
"115",2014,6606711.06,0,0,0,4747.36458629,0
"116",2015,58647,0,0,0,10335.05186858,0
