ID,Country,Name,Longitude,Latitude,Designation,Legal/Formal Instrument,Designation Type,Date Established,Domain,Status,Reported Area_ha,Reported Marine Area_ha,Management Plan,IUCN Management Categories,International Convention,State/Province/District,Management Effectiveness Model,Management Effectiveness Rating,Zonation,No Take,Reported No Take Area (ha),Source
1009200,Indonesia,Aceh Jaya District Marine Conservastion Area,95.57,4.64,District Marine Conservation Area,Keputusan Bupati NAD Jaya Nomor : 3 Tahun 2010 tgl 21 Januari 2010,Local,1/22/2010,Marine,Designated,175,0,Unknown,Unknown,Unknown,Aceh,,Unknown,Unknown,Unknown,,MMAF
1011900,Indonesia,Agam District Marine Conservation Area,99.948,-0.264,District Marine Conservation Area,Sk Bupati Nomor  520 Tahun 2012 Perubahan SK No 348 Tahun 2014,Local,1/1/2014,Marine,Designated,12000,0,Unknown,,,West Sumatra,,,Unknown,,,MMAF
1009500,Indonesia,Banggai District Marine Conservation Area ,123.08,-1.13,District Marine Conservation Area,Keputusan Bupati Banggai Nomor : 523/1209/Dislutkan/2008,Local,10/23/2008,Marine,Designated,16,0,No ,Unknown,Unknown,Central Sulawesi,,Unknown,Unknown,,,MMAF
1005900,Indonesia,Banggai Kepulauan District Marine Conservation Area,123.166172,-2.077298,District Marine Conservation Area,SK Bupati Nomor 391 Tahun 2014,Local,9/10/2014,Marine,Designated,57859.42,0,Unknown,V,No,Central Sulawesi,Unknown,Unknown,Unknown,Unknown,0,MMAF & Pemda
1014400,Indonesia,Bangka Selatan (Desa Penutuk kecamatan Lepar) District Marine Conservation,106.457,-2.766,District Marine Conservation Area,Kep. Bupati Bangka Selatan No : 188.45/119.4/DKP/2012 tanggal 17 April 2012,Local,4/17/2012,Marine,Designated,186,0,Unknown,Unknown,Unknown,Bangka Belitung,,Unknown,Unknown,Unknown,,MMAF
1014200,Indonesia,Bantul Ditrict Coastal and Marine Conservation Area,110.38,-7.901,District Marine Conservation Area,Nomor 284 Tahun 2014,Local,4/28/2014,Marine,Designated,182,0,Unknown,Unknown,,DI Yogyakarta,,Unknown,Unknown,Unknown,,MMAF
1014700,Indonesia,Barru (Pulau Pannitiang Coastal and Small Island) District Marine Conservasion Area,119.76,-4.562,District Marine Conservation Area,SK Bupatei Nomor 194/DKP/II/2014,Unknown,2/15/2014,Marine,Designated,605.94,0,Unknown,Unknown,Unknown,South Sulawesi,,Unknown,Unknown,Unknown,,MMAF
1000300,Indonesia,Batang Gasan District Marine Conservation Area,99.97475,-0.45647,District Marine Conservation Area,SK Bupati Padang Pariaman No. 02 Kep/BPP-2010,Local,2/1/2010,Marine,Designated,684,0,Unknown,Unknown,No,West Sumatra,Unknown,Unknown,Unknown,Unknown,0,MMAF (2010)
1014300,Indonesia,Belitung District Marine Conservation Area,107.71,-2.801,District Marine Conservation Area,"SK Bupati Nomor 188,45/156.A/Kep/DKP/2014",Local,1/1/2014,Marine,Designated,662984,0,Unknown,Unknown,Unknown,Bangka Belitung,,Unknown,Unknown,Unknown,,MMAF
1009600,Indonesia,Bengkalis Terubuk Fish sanctuary ,102.9,1.402,District Marine Conservation Area,Kepmen KP. 59 Tahun 2011,Provincial,10/12/2011,Marine,Designated,40741.8,0,Unknown,Unknown,No,Riau,,Unknown,No,Unknown,,MMAF
1001700,Indonesia,Bengkayang (P. Randayan & P. Sekitarnya) District Marine Conservation Area,108.751249,0.762153,District Marine Conservation Area,No.220 Tahun 2004 Tgl.16-12-2004,Local,12/16/2004,Marine,Designated,15300,0,Unknown,VI,No,West Kalimantan,Unknown,Unknown,Unknown,Unknown,0,MMAF & MoF
1003100,Indonesia,Biak Numfor District Marine Conservation Area,136.303187,-1.178232,District Marine Conservation Area,SK. Bupati nomor : 21 tahun 2009 tangal 17 April 2009,Local,4/17/2009,Marine,Designated,24910,0,Unknown,VI,No,Papua,Unknown,Unknown,Unknown,Unknown,0,MMAF & MoF
1009300,Indonesia,Bina Bahari District Marine Conservation Area,95.18,5.34,District Marine Conservation Area,Keputusan Bupati NAD Besar Nomor : 43 Tahun 2010 tgl 15 Februari 2010,Local,2/16/2010,Marine,Designated,200,0,No ,Unknown,Unknown,Aceh,,Unknown,No,Unknown,,MMAF
1013600,Indonesia,Boalemo District Marine Conservation Area,122.33,0.642,District Marine Conservation Area,SK Bupati Nomor 188.45/SK.0283/DKP/2013,Local,1/1/2013,Marine,Designated,0,0,Unknown,Unknown,Unknown,Gorontalo,,Unknown,Unknown,Unknown,,MMAF
1010800,Indonesia,Bombana District Marine Conservation Area,121.85,-4.66,District Marine Conservation Area,Keputusan Bupati Bombana No. 384 Tahun 2011,Local,3/1/2011,Marine,Designated,19176.98,0,Unknown,Unknown,Unknown,Southeast Sulawesi,,Unknown,Unknown,Unknown,,MMAF
1010700,Indonesia,Brebes Conservation Area,108,-6.925,District Marine Conservation Area,Keputusan Bupati Brebes Nomor : 523/177 Tahun 2007,Local,1/1/2012,Terrestrial,Unknown,0,0,Unknown,Unknown,Unknown,Central Java,,Unknown,Unknown,Unknown,,MMAF
1010500,Indonesia,Buleleng District Marine Conservation Area,115.19,-8.178,District Marine Conservation Area,Keputusan Bupati Buleleng No. 523/630/HK/2011,Local,1/1/2011,Marine,Designated,14041.13,0,Unknown,Unknown,Unknown,Bali,,,Unknown,,,MMAF
1004500,Indonesia,Bunaken Marine National Park,124.754218,1.643382,Marine National Park,SK. Menhut Nomor 730/Kpts-II/1991; Tgl 15-10-1991,National,10/15/1991,Marine,Designated,89065,0,Unknown,II,No,North Sulawesi,Unknown,Unknown,Unknown,Unknown,0,CTI
1012500,Indonesia,Bungo District Marine Conservation Areas,101,-1.67,District Marine Conservation Area,Nomor 53 Tahun 2013 Nomor 54 Tahun 2013 Nomor 55 Tahun 2013 Nomor 56 Tahun 2013,Local,2/11/2013,Terrestrial,Designated,2.27,0,Unknown,Unknown,Unknown,Jambi,,Unknown,Unknown,Unknown,,MMAF
1001200,Indonesia,Derawan (Berau) District Marine Conservation Area,118.437683,1.894307,District Marine Conservation Area,SK No. 202 Tahun 2014,Local,3/25/2004,Marine,Designated,285266,0,Unknown,VI,No,East Kalimantan,Unknown,Unknown,Unknown,Unknown,0,MMAF & MoF
1001100,Indonesia,Desa Olele District Marine Conservation Area,123.151645,0.40819,District Marine Conservation Area,No. 165 Tahun 2006; Tgl. 6 November 2006,Local,11/6/2006,Marine,Designated,2460,0,Unknown,VI,No,Gorontalo,Unknown,Unknown,Unknown,Unknown,0,MMAF & MoF
1009400,Indonesia,District Marine Conservation Area Pandeglang,105.47,-6.56,District Marine Conservation Area,Keputusan Bupati Pandeglang Nomor : 660/Kep.369 - Huk/2007,Local,9/26/2007,Marine,Designated,7391,0,No ,Unknown,No,Banten,,Unknown,No,Unknown,,MMAF
1014000,Indonesia,Dompu District Marine Conservation Area,118.395,-8.521,District Marine Conservation Area,Peraturan Bupati No : 34 tahun 2010 tanggal 27 Desember 2010,Local,12/27/2010,Marine,Designated,2240,0,Unknown,Unknown,,Nusa Tenggara Barat,,Unknown,Unknown,Part,,MMAF
1011000,Indonesia,East Belitung District Marine Conservation Areas,108.52,-2.548,District Marine Conservation Area,SK Bupati No Nomor 2.05.5/021/DKP/I/2012,Local,1/1/2012,Marine,Designated,801.56,0,Unknown,Unknown,Unknown,Bangka Belitung,,Unknown,Unknown,Unknown,,MMAF
1012800,Indonesia,East Florest District Marine Conservation Area,122.95,-8.507,District Marine Conservation Area,SK Bupati Nomor 4 Tahun 2013,Local,6/3/2013,Marine,Designated,150000,0,Unknown,Unknown,Unknown,Nusa Tenggara Timur,,Unknown,Unknown,Unknown,,MMAF
1008100,Indonesia,Enggano District Marine Conservation Area,102.434,-5.490999,District Marine Conservation Area,Peraturan Bupati No Tahun 2010,Local,1/1/2010,Marine,Designated,37167.39,0,Unknown,VI,No,Bengkulu,Unknown,Unknown,Unknown,Unknown,0,MMAF
